Manufacturer,Representative,Product_Description
O,Directory,303.832.4224
Section,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,Page Number
CSI MASTER FORMAT 2016,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,81
22 00 00 PLUMBING,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,81
"23 00 00 HEATING, VENTILATING, AND AIR CONDITIONING (HVAC)",2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,87
25 00 00 INTEGRATED AUTOMATION,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,96
SMACNA COLORADO CONTRACTOR MEMBERS,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,97
SMACNA COLORADO ASSOCIATE MEMBERS,2023 COLORADO HVAC+R E&P DIRECTORY                                                     6,102
Nathan Cooper,2023 COLORADO HVAC+R E&P DIRECTORY,Taylor Reese
Executive Director,2023 COLORADO HVAC+R E&P DIRECTORY,President
SMACNA Colorado,2023 COLORADO HVAC+R E&P DIRECTORY,Rocky Mountain ASHRAE
1114 West 7th Ave.,2023 COLORADO HVAC+R E&P DIRECTORY,P: 720-221-1078
Suite 250,2023 COLORADO HVAC+R E&P DIRECTORY,ldyas@group14eng.com
"Denver, CO 80204-4432",2023 COLORADO HVAC+R E&P DIRECTORY,President@RockyMtnASHRAE.com
AcoustiFLO Large CFM,"AcoustiFLO, LLC","Custom-designed air handlers to customer specs for space, noise criteria, control, and efficiency. High efficiency fan modules"
Acutherm,Air Purification Company,Thermally Powered VAV Diffusers
AE Air,Air Purification Company,Fan Coils & Water Source Heat Pumps
AERMEC,Air Purification Company,"Free Cooling, Heat Recovery & Heat Pump Chillers"
Aircuity,Air Purification Company,Indoor Environmental Quality
Air Enterprises,Air Purification Company,Factory Or Site-Built Custom Air Handling Solutions
Airtherm,Air Purification Company,Fan Coil And Blower Coil Units
Manufacturer/Brand,Air Purification Company,Products/Services
Ai MFG.,Air Purification Company,Air Devices for Critical Environments
Amana,Air Purification Company,Packaged Terminal (PTAC) Units
AAB,Air Purification Company,Constant Airflow balancing valves
Berner,Air Purification Company,"Air Curtains, Patio & Door Heaters"
CaptiveAire,Air Purification Company,"Commercial Kitchen Ventilation, Gas Fired MUA, DOAS Units"
Car-mon Products,Air Purification Company,Automotive & Welding Exhaust
Cook,Air Purification Company,Fans and Blowers For All Applications
Critical Environment Technologies,Air Purification Company,Gas Detection Systems
Dectron,Air Purification Company,Pool Dehumidification Units
Delta Breez,Air Purification Company,Energystar Ventilation Fans
Duct Direct,Air Purification Company,Ductwrok & Sheet Metal Products
Dynasonics,Air Purification Company,Sound Attenuators
Effectiv HVAC,Air Purification Company,High-Performance Architectural Diffusers
Epic Fans,Air Purification Company,HVLS Fans (Formerly Entrematic)
Eurovac,Air Purification Company,Air Cooled Chillers
Coils Neptronic,Air Purification Company,"VRF, Ductless Mini-Splits"
Pace Air Systems,Air Purification Company,Dust Collection Systems
Franklin Control Systems,Air Purification Company,"Advanced Motor Starters, VFDS"
Hays,Air Purification Company,Automatic Flow Control Valves
IPF Colasit,Air Purification Company,Industrial Plastic Fans
Kampmann,Air Purification Company,Trench Systems for Heating & Cooling
Kees,Air Purification Company,"Security Bars & Grilles, Air Blenders"
Kinetics Noise Control,Air Purification Company,"Duct Silencers, Plenums, & Acoustical Louvers"
Koch Filter,Air Purification Company,"HVAC, Clean Room, & Biosafety Filters"
Louvers Dampers,Air Purification Company,"Gravity Vents, Louvers, Dampers"
Markel Products Company,Air Purification Company,Electric Heat
Modine,Air Purification Company,"Gas & Hydronic Heat, DOAS Units"
Nationwide Coils,Air Purification Company,Replacement & Custom Water Coils
Neptronic,Air Purification Company,"Humidifiers, Electric Duct Heaters"
Panasonic,Air Purification Company,Energystar Ventilation Fans
Phoenix Controls,Air Purification Company,Laboratory Controls
Plasma Air,Air Purification Company,Needlepoint and Tube Style Bipolar Ionization Units
Pottorff,Air Purification Company,Dampers & Louvers
Prihoda,Air Purification Company,Fabric Duct Distribution Systems
RenewAire,Air Purification Company,Energy Recovery Ventilators
Scott Springfield Mfg. Inc.,Air Purification Company,Custom Air Handling Units
Secure Aire,Air Purification Company,Active Particle Control Technology
Solaronics,Air Purification Company,Infrared Radiant Heaters
Spunstrand,Air Purification Company,"FRP Duct, Dampers, and Scrubbers"
Strobic Air Technologies,Air Purification Company,Laboratory Exhaust Fans
Systemair,Air Purification Company,Car Park Ventilation
TAMCO,Air Purification Company,Innovative Damper Products
Tempmaster,Air Purification Company,3-150 Ton Packaged Rooftop Units
Thermaflex,Air Purification Company,Flexible Duct
Titus,Air Purification Company,"GRDS, VAVS, Displacement Ventilation, Chilled Beams"
Titus Applied,Air Purification Company,"Modular Air Handling Units, Fan Coil Units, Blower Coil Units"
US Duct,Air Purification Company,Ductwork for Dust Collection Systems
Vulcan Radiator,Air Purification Company,Hydronic Heating Products
Airflow Systems (AFS),Airpro,"Self-contained bag filter, HEPA and cartridge airfilter units. Fume extraction arms, down draft table collectors."
AirPro Fan & Blower Co.,Airpro,"Industrial blowers, Centrifugal / Curved BI fans, High Pressure Blowers, High Temp Fans, industrial exhausters, and accessories."
BOSS Products,Airpro,"Spark detection/suppression systems, Abort gates, Inlet Isolation Valves, Auto slide gates &controls, Explosion Vents"""
Cincinnati Fan,Airpro,"Commercial/Industrial Blower, Central BI, industrial exhausters, low pressure, high pressure, axial types, Blower Wheels"
Donaldson / Torit,Airpro,"Dust collectors, cyclones, cartridge filters, baghouses, grinding booth dust collectors, Downdraft table dust collectors. Portable units, Unimaster dust collectors and Power Core dustcollectors/filters. Easy Duct Clamping ductwork systems. Branches, elbows, slide gates, piping, hood, auto gates"
Filter One,Airpro,"Wet type dust collectors, grinding booths and downdraft table collectors."
HP METFLO,Airpro,"Duct Components, couplings, piping for industrial vacuum and pneumatic conveyingsystems."
IEP / Fenwall,Airpro,"Mechanical and chemical explosion detection/suppression systems, Pro Flap Inlet Isolation Valves"
Masterduct,Airpro,"Flexible ducting commercial/industrial grade, high temperature type, crushproof - all sizes."
Monoxivent,Airpro,"Hose drop and hose reel systems for auto, truck, construction vehicle equipment exhaust, gas or diesel engines."
Nordfab,Airpro,"Clamping type ductwork, elbows, piping, slidegates, branches, hoods and isolation valves"
Plymovent Vehicle Exhaust,Airpro,"Sliding Balancer Track, Vertical Stack Rail, StraightRail emergency vehicle exhaust removal. Hose reels and blowers, systems for fire stations, ambulance areas. Hose drops and hose reels for autos/trucks, vehicle exhaust removal."
"Blender Products, Inc.","Blender Products, Inc.","We design and manufacture mixing technologies for a variety of applications including HVAC, Industrial, and chemical processing facilities. We also manufacture industrial evaporative cooling systems."
BuildCentrix,BuildCentrix,"We provide web and mobile software that helps HVAC, sheet metal, and piping contractors to speed up and eliminate mistakes in their fabrication and material ordering process with both their in-house shop and outsourced fabricator/vendor."
Air Flow Technology,Camfil,Paint Booth Filtration.
AJ Manufacturing,Camfil,"return diffusers for high purity processes such as hospitals and pharmaceutical, microelectronic applications."
Cameron Great Lakes,Camfil,Gas phase filtration for odor and/or corrosion control.
Camfil FARR,Camfil,"Pleated filters, bag, rigid, and HEPA/ULPA filters, side access housings, clean room filtration, carbon filtration, bag-in/bag-out hazardous containment equipment, gas phase filtration for odor and/or corrosion control."
Clean Rooms International,Camfil,"Fan powered HEPA filters, clean room components such as soft wall clean rooms, ceiling grid, clean benches, etc."
Company/Product,Camfil,Description
D Mark Inc,Camfil,Gas phase filtration for odor and/or corrosion controls
"Dwyer Instruments, Inc",Camfil,"Air flow and pressure measuring equipment— magnehelic gages, manometers, pressure switches, pilot tubes."
Fiber Bond,Camfil,"Pleated, bag, rigid and polyester link and panel filters."
Kuul,Camfil,CELdek/GLASdek—evaporative cooling media
Munters,Camfil,Cottonwood filter for air cooler condensers/chillers and cooling towers
Prevent by Permatron,Camfil,"Pleated filters, bag filters, odor control filters, and rigid filters"
Research Products,Camfil,"Washable filters, evaporative cooling media"
SNOSTOP,Camfil,"Stainless steel filtration that has built in heating element that can melt up to 8"" of snowfall per hour."
Sparks Filters,Camfil,Industrial process filtration for air and gas applications
UV Resources,Camfil,Germicidal ultraviolet light for HVAC commercial and residential applications
SLD Technology,Camfil,"Designs & manufactures ceiling systems and components for operating rooms or where clean processes are required that will simplify design, speed installation, and deliver superior performance in hospitals"
Air Balance,Carrier West – Lohmiller & Company,"Back draft and control dampers, Fire and smoke dampers & Louvers"
Air Distribution Concepts,Carrier West – Lohmiller & Company,Fabric Duct
Airbloc,Carrier West – Lohmiller & Company,Air curtains
American Coolair,Carrier West – Lohmiller & Company,"Centrifugal fans, Utility sets; Prop andvane/axial fans; Ceiling exhaust, in-linecabinet and transfer fans"
Anemostat,Carrier West – Lohmiller & Company,"Commercial grilles, registers air terminals& diffusers, Operating room and criticalenvironment systems, VAV and fan powered terminal units, Security air distribution products and security bars"
Aqua Products,Carrier West – Lohmiller & Company,Chillers – Air cooler
Ares,Carrier West – Lohmiller & Company,Make up air units – indirect fired
Broan,Carrier West – Lohmiller & Company,Power ventilators
Bryant,Carrier West – Lohmiller & Company,Packaged rooftop units—constant volume; furnaces— 80 to 96% efficient;Condensing units—air and watercooled
Burnham Boilers,Carrier West – Lohmiller & Company,High Efficiency Boilers
Captive Aire,Carrier West – Lohmiller & Company,Kitchen hood Systems: Grease Duct
Carrier,Carrier West – Lohmiller & Company,"Air handling units: Indoor and outdoor; Moduline, VAV and Fan powered terminalunits; Chillers: air and water cooled,condenser less; Condensers: air and water cooled; Condensing units: air and water cooled; Controls: DDC, VVT, Thermostats and zoning systems; Duct Coils: directexpansion, hot and chilled water; Duct free split systems; Energy recovery ventilators;Fan coils: vertical, horizontal and stacked;Furnaces: 80-96% efficient; Heat pumps: aircooled, geothermal and water source; IAC:germicidal lamps, CO2 controlled ventilation;Packaged rooftop units: VAV and constantvolume; Package air terminal units; Unitventilators"
Chromalox,Carrier West – Lohmiller & Company,Electric comfort heating products
Commercial Coils,Carrier West – Lohmiller & Company,Coils
Compu-Aire,Carrier West – Lohmiller & Company,Computer room AC units
Cool Water Technologies,Carrier West – Lohmiller & Company,Cooling towers
DCA,Carrier West – Lohmiller & Company,Dehumidification units: commercial and swimming pools
